ID	NAME	KR NAME	FACT	EP	TYPE	R	HP	SIZE	LIM	A	D	S	LV	PT	Ability	Flavor	Upgrade
100013	Dress Iri	드레스의 아이리	Darklore	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if this Character's LIFE and the SIZE of the first card in your Hand are both odd or both even, this Character gets LIFE +3.	[It's... it's not like I picked out this dress just because I wanted to come to this party. It couldn't be helped! Wearing this...]	
100014	Dress Vernika	드레스의 베르니카	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random Follower in your Field with a SIZE of at least 2 gets SIZE decreased by the difference in SIZE between the first two cards in your Hand.	[It's been a long time since I've worn this. I think it's the first time since my brother's wedding? Hehe... Sita, hang on a sec.]	
100015	Kendo Sita	검도의 시타	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if Slot 3 in the enemy Field is empty, a random enemy Follower is moved there. A Follower in Slot 3 in the enemy Field gets STA -3.	[It's fine, there won't be a problem.] [But didn't you say you've never done this before?] [I'm confident because it involves a sword.]	
100016	Chess Cinia	체스의 시니아	Academy	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the first enemy Follower with the highest SIZE gets ATK/STA decreased by half (rounding up) of the combined SIZE of the first allied Follower and a Follower in Slot 4 in your Field.	[Checkmate, that's the end. Ah~ it was boring because you were too weak. Is there any opponent that can give me exciting games like my sister did?]	
100017	Sports Luthica	육상의 루티카	Crux	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if Slot 5 in your Field is empty, a Follower in Slot 1 in your Field is moved to Slot 5 and gets STA +5. If Slot 1 in your Field is empty, a Follower in Slot 5 in your Field is moved to Slot 1 and gets STA +5.	[Run as much as you want! We have this opportunity, so spend this time to your heart's content!]	
100018	Cheerleader Iri	응원의 아이리	Darklore	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random card in your Hand with a SIZE of at least 2 gets SIZE -1.	[Hm? The athletic meet is during the day? That's too bad... I thought I might be able to have some fun for a change...]	
100019	Team Manager Vernika	실행위원 베르니카	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are three or fewer cards in your Hand, all cards in your Hand are sent to the bottom of your Deck. If this happens, a random allied Follower gets ATK/STA increased by half of the number of sent cards (rounding up).	[Everyone's working hard, I really enjoy cheering for you all!]	
100020	Swimwear Sita	수영복의 시타	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random enemy Follower gets DEF decreased by half of the ATK of the first Follower in your Hand with the lowest SIZE (rounding down).	[Vernika, it's hot...]	
100021	Swimwear Cinia	수영복의 시니아	Academy	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, enemy Followers with a SIZE less than your first Follower's SIZE get ATK -1/STA -2	[It's not much compared to ours, but I'll let it pass.]	
100022	Swimwear Luthica	수영복의 루티카	Crux	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if all cards in your Field and the first card in your Hand are Crux cards, a random Follower in your Field gets ATK +2/STA +2.	[It's thanks to Jaina that we can spend some time in a place like this. I'll have to bring a gift back when I return.]	
100023	Swimwear Iri	수영복의 아이리	Darklore	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a card in Slot 5 in the enemy Field is sent to the bottom of the enemy Deck, and then a random enemy card is moved to the next empty Slot in the enemy Field. If the card is moved to Slot 5, the card is destroyed.	[This... is the sea? It's amazing! Those surges of water are called waves? I've heard the water is salty... I wonder if it's true? The sea at night is a bit cold...]	
100024	Swimwear Vernika	수영복의 베르니카	Vita	1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are at least two cards in the enemy Hand, the first allied card with the highest SIZE gets SIZE changed to equal the difference in SIZE between the first and second cards in the enemy Hand.	[Sita, it's bad for your skin if you wander around! The water is nice, but why don't we go rest in the shade?]	
100025	Lightseeker Sita	빛의 탐구자 시타	Crux	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Darklore Follower with a SIZE of 9 or less is sent to the Grave. A random enemy Follower gets STA decreased by 1.5 times the sent card's SIZE (rounding down).	[Tell me, how do you turn a vampire back into a human? Crux is supposed to hold the most knowledge on the continent, right? So tell me! Jaina said she'd tell me when I joined the knights!]	
100026	Transfer Student Cinia	유학생 시니아	Academy	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets one of the following effects applied depending on the faction of the first card in your Hand: Vita: ATK +1/STA +2, Academy: STA +3, Crux: DEF +1, Darklore: SIZE -2 (to a minimum of 1).	[This... this is the public school's uniform? It's... it's not bad! For a commoner's uniform, it's a decent design...]	
100027	Blue Reaper Luthica	푸른사신 루티카	Crux	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the number of Crux cards and non-Crux cards in the enemy Hand and Field are compared. A random allied Crux Follower gets STA increased by the higher number.	[You shall not pass! I won't spare anyone who wishes to harm Jaina!]	
100028	Lovestruck Iri	연정의 아이리	Darklore	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are cards in the enemy Hand and Field from at least two factions, a random card in your Hand gets SIZE -2 (to a minimum of 1).	[Sunset red hair, blue eyes behind those glasses... a smile even when nobody else is around... I've decided, I'll win that girl.]	
100029	Night Denizen Vernika	밤의주민 베르니카	Darklore	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random enemy Follower gets STA -3. If this happens, your Character gets LIFE +1.	[Sorry, Sita, I can't walk to school in the morning with you anymore because of this body... but don't worry, you're welcome to come to the night.. Hurry and come, Sita, I miss you... you'll look pretty under the moonlight. Hehehe]	
100030	Rose Witch Rose	장미의 마녀 로제	Darklore	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random enemy Follower gets ATK/STA decreased by half of the difference between its SIZE and DEF (rounding up).	[Don't wait for me, I'm not the sister that you remember... I miss you... Cinia.]	
100031	Second Daughter Rose Pacifica	차녀 로제 퍼시피카	Academy	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the first Darklore card in your Hand is sent to the Grave. A random enemy Follower's ATK/STA are decreased by half of the sent card's SIZE (rounding up).	[Yes? This book? No, it just seemed interesting, so I took a look at it. There's no way I'd have an interest in the origin of witches, right?]	
100032	Blood Witch Rose	블러드위치 로제	Darklore	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is even, a random Spell in the enemy Hand is removed from the game. If the Turn Number is odd, the first Spell in the enemy Grave is removed from the game.	[Feel the pain in my blood. Just because I had eyes that could see hazy glimpses of the future, Crux stigmatized me. This is the fury of the witches who have been stained with contempt and suppression!]	
100033	Outcast Rose	버림받은자 로제	Academy	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are at least two allied Followers, your Character gets LIFE -1, and then a random allied Follower gets ATK +2/DEF +1/STA +2.	[... don't leave me. I'm still your sister, right? Don't throw me out so easily. At least don't look at me like that!]	
100034	Picnic Rose	피크닉의 로제	Academy	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, two random allied Followers get STA increased by their difference in SIZE.	[Sometimes I just want to breathe the outside air. How is it, Cinia? Doesn't the wind feel good?]	
100035	Wedding Dress Rose	웨딩드레스의 로제	Academy	2	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, a random enemy Follower gets ATK/STA decreased by half of the difference between its SIZE and DEF (rounding up).	[Sister, I'll only show this look to you. I don't want to show this look to Cinia...]	
100036	Wedding Dress Sita	웨딩드레스의 시타	Vita	1	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, enemy Followers in Slots 1, 2, and 3 get STA -1. If the enemy is an NPC, the enemy Character gets LIFE -1. If the enemy is a player and you have 0 Shuffles, you get Shuffles=1.	[I just have to stay still while wearing this? I'm hungry, Vernika.]	
100037	Wedding Dress Cinia	웨딩드레스의 시니아	Academy	1	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, a random enemy Follower gets ATK -1/STA -1. If the enemy is an NPC, the enemy Character gets LIFE -1. If the enemy is a player and you have 0 Shuffles, you get Shuffles=1.	[I don't really like white, but this dress isn't too ba... no! It's good, sister, this was a good idea!]	
100038	Wedding Dress Luthica	웨딩드레스의 루티카	Crux	1	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, a random allied Crux Follower gets ATK +1/STA +1. If the enemy is an NPC, the enemy Character gets LIFE -1. If the enemy is a player and you have 0 Shuffles, you get Shuffles=1.	[This is... wonderful. I never would have thought I would get to wear something like this.]	
100039	Wedding Dress Iri	웨딩드레스의 아이리	Darklore	1	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, if your Field SIZE is greater than the enemy Field SIZE, the enemy Character gets LIFE -1. If the enemy is an NPC, the enemy Character gets LIFE -1. If the enemy is a player and you have 0 Shuffles, you get Shuffles=1.	[I tried this because I sometimes think beautiful clothes would be better than my gloomy clothes. How is it? Vernika... of course I couldn't expect to hear her reply...]	
100040	Wedding Dress Vernika	웨딩드레스의 베르니카	Vita	1	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, the enemy Follower with the highest DEF gets DEF =0.	[I've only dreamed of trying out a wedding dress. Cinia, please tell your oldest sister thank you for me.]	
100041	Laevateinn	레바틴	Darklore	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are two cards in your Hand with the same SIZE, your Character gets LIFE increased by half of their SIZE (rounding up).	[What do you think? Within your dreams, I can do anything for you, I can be anything for you. The girl you like, the young girl you secretly long for. If you just want that girl to be with you in bed, I can do that for you, too.]	
100042	Vampire Sisters Shion and Rion	흡혈귀자매 시온리온	Darklore	2	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets ATK increased by the number of Followers in your Hand and gets STA increased by the number of Followers in your Field.	[You wanna play? How about grabbing sister Sage? I like her! Isn't it alright if we don't play around with the shadow?  Play with me!] [An artifact that blocks out the sunlight. Where you get that... Hand it over!]	
100043	Knight Captain Jaina	기사단장 제이나	Crux	3	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets ATK +2. If the Turn Number is even, the Follower gets an additional STA +1.	[Leading the knights is a great responsibility for one person. I have to be careful in everything I do, and the burden never disappears. Sometimes I feel like I need some breathing space.]	
100044	Holiday Jaina	휴일의 제이나	Crux	3	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is a multiple of three, two random allied Crux Followers get ATK +3/STA +3. Your Character gets LIFE +2.	[How about relaxing a little more, Luthica? You don't have to dress up here. You're making me a little uncomfortable.]	
100045	Talented Jaina	적성자 제이나	Crux	3	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets ATK increased by 1 plus the number of empty Slots in your Hand (by a maximum of 4).	[The experiment of creating a sword out of Talentium was a success. It has been observed to perfectly draw out the dormant abilities of this girl. There is no evidence of any abnormalities from using Talentium to awaken powers. -Creuset's experiment note]	
100046	Swimwear Jaina	수영복의 제이나	Crux	3	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower is moved to the next empty Slot. If this happens, the moved Follower gets ATK increased by the new Slot number and gets STA increased by half the new Slot number (rounding down). If the Follower starts in Slot 5, it is moved to the first empty Slot.	[This beach is really peaceful. It's been a while since you've been to the beach, right, Luthica? Of course we have work, but it'll be a shame if we let that prevent us from enjoying ourselves... d, don't stare at me like that! Hmph!]	
100047	Sword Planter Jaina	소드플랜터 제이나	Crux	3	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, two random allied Followers get ATK increased by the number of different SIZES in your Hand.	[The leader of the army that fought the monsters around the Empire was a magnificent sight indeed. The number of swords she held could not be counted. Each one seemed as if they had a will of their own and moved perfectly. Unlimited blade works... this is the power of Jaina.]	
100048	Wedding Dress Jaina	웨딩드레스의 제이나	Crux	3	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, a random allied Follower gets ATK +2. If the Turn Number is even, the Follower also gets STA +1.	[This is different than the dress I had in mind. Is this what you like? It's not bad. I'm never disappointed by your taste, Linia.]	
100049	Sigma	시그마	Crux	3	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, two random Followers in your Hand get ATK +1/STA +1 and two random Followers in your Field get STA +1.	[If you were to point out anything particular about the Crux guardian Sigma, anyone who knows her would mention that she's a heavy drinker. At the same time, Crux developed a winery. I believe the two things are not unrelated. -Esprit's memo...]	
100050	Child Sita	시타 어린이	Vita	3	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, the enemy Follower in Slot 2 gets STA -2. The first enemy Follower gets STA -1. A random enemy Follower gets STA -2.	[This girl was found in an alley on a rainy day. She gazed with blank eyes at the puppies that wanted her bread.]	
100051	Child Cinia	시니아 어린이	Academy	3	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, a random enemy Follower gets one of the following effects applied depending on its SIZE: 3 or more: ATK -2, 3 or less: STA -3	[Hm.. Hmph! Are you going to ignore just because I'm small? I'll get mad if you do that! You better watch out!]	
100052	Child Luthica	루티카 어린이	Crux	3	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, a random Crux Follower in your Field gets one of the following effects applied depending on its SIZE: 3 or more: ATK +2, 3 or less: STA +3	[When she first entered the knights, Luthica was very wary of others. She would wake up immediately upon hearing any unfamiliar footsteps.]	
100053	Child Iri	아이리 어린이	Darklore	3	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, a random enemy Follower gets ATK -1/STA -2. If the number of cards in your Hand is even, it gets an additional DEF -1.	[Ire turned away so her daughter wouldn't see her tears. "I'm sorry, Iri, I'm your mother, so... I hope you grow up to be a strong child that nobody can ignore."]	
100054	Onsen Sita	온천의 시타	Vita	EX1	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, enemy Followers in Slots 2, 3, and 4 get STA -2, and a random enemy Follower gets STA -1.	[Is somewhere there? I can sense someone's presence...]	
100055	Onsen Cinia	온천의 시니아	Academy	EX1	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, a random enemy Follower gets ATK -2/STA -2 if it has 0 or less DEF. Otherwise, it gets DEF -2/STA -1.	[It has a different kind of beauty than the mansion. Alright, it was worth coming.]	
100056	Onsen Luthica	온천의 루티카	Crux	EX1	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, a random allied Follower gets ATK +2/STA +2 if it has at least 1 DEF. Otherwise, it gets DEF +1/STA +2.	[Don't stare like that. It's embarrassing.]	
100057	Onsen Iri	온천의 아이리	Darklore	EX1	Character	R	30	-	1	-	-	-	1	1	At the start of the turn, a random enemy Follower gets STA -4 if it has at least 10 STA. Otherwise, it gets ATK -1/DEF -1/STA -2.	[I used to come to the hot springs with my mother, too. I was most happy while we leisurely spent our time together. I wish I could return to that time...]	
100058	Miracle Panda Penika	미라클팬더 페니카	Academy	EX1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number is odd, two random allied Followers get ATK +1. If the Turn Number is even, one random allied Follower gets STA +2.	[I'm just coming with you for a little bit! I'll never like you! I'm only moving in out of necessity!]	
100059	Child Vernika	베르니카 어린이	Vita	EX1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the first card in your Hand is sent to the bottom of your Deck. If this happens, the first enemy Follower with the highest STA gets DEF decreased by half of the sent card's SIZE (by a maximum of 3, rounding up).	[Mommy! Can you take me to the library? There's nothing left to read at home! I can even count all the books at home! There are 103,000 books at home! Right?]	
100060	Child Rose	로제 어린이	Academy	EX1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the first Academy Spell in your Hand with a SIZE less than the difference between 9 and your Field SIZE is sent to the first empty Slot in your Field. If this happens, a random enemy Follower gets ATK/STA decreased by the sent card's SIZE.	[I... I'll be a good girl. I want to be a good sister for Cinia... I'll do my best.]	
100061	Child Jaina	제이나 어린이	Crux	EX1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random enemy Follower gets ATK -1 and a random allied Follower gets ATK +2 .	[Hey old man, why are you being nice to me? T.. Thank you for the ice cream. It was good. What's your name? Creu...set? What a weird name. Wow~ that necklace is pretty.]	
100062	Child Ginger	진저 어린이	Neutral	EX1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets ATK +2, and then is sent to the top of your Deck. If this happens, a random allied Follower gets ATK +2.	[You'll always be a person of climax.] [Cli... max?]	
100063	Child Laevateinn	레바틴 어린이	Darklore	EX1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are at least two cards in your Hand with the same SIZE, those cards are sent to the bottom of your Deck. Your Character gets LIFE increased by half of the SIZE of the sent cards (by a maximum of 4, rounding up).	[Is this the one you want? Interesting, I kind of doubt your preference, but... well, whatever. That man bluntly said that his "game" is starting.]	
100064	Child Sigma	시그마 어린이	Crux	EX1	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the first card in your Hand is sent to the bottom of your Deck. A random allied Follower gets ATK/STA increased by half of the sent card's SIZE (by a maximum of 4, rounding down).	[This... was an attempt to change to a slightly younger appearance, but it ended in failure because of a loss of control.]	
100065	Layna Scentriver	레이나 센트리버	Vita	EX1	Character	C	30	-	1	-	-	-	1	25	At the start of the turn, a random allied Vita Follower gets ATK +1/STA +1.	[Come over here. I'm very strict and distant at school, which made me lonely. So, take my hand. Hurry.]	
100066	Chief Maid	치프메이드	Academy	EX1	Character	C	30	-	1	-	-	-	1	25	At the start of the turn, if your Field SIZE is greater than the enemy Field SIZE, the enemy Character gets LIFE -1.	[Sorry, I'm not interested. What? Linia's maid? Hurry up and tell me, what did she say about me?]	
100067	New Knight	신입기사단원	Crux	EX1	Character	C	30	-	1	-	-	-	1	25	At the start of the turn, enemy Followers in Slots 1, 2, and 3 get STA -1.	[Do some special training with me! Follow me. I'll show you a secret training ground.]	
100068	Nytitch	나이티치	Darklore	EX1	Character	C	30	-	1	-	-	-	1	25	At the start of the turn, a random enemy Follower gets ATK -1/STA -1.	[It's been a while~ how have you been? You always leave somewhere each night, so I've been lonely. Play with me!]	
100069	Alchemist Clarice	연금술사 클라리스	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, allied cards with "Homunculus Escort" in the name are sent to the Grave. A Follower named "Homunculus Escort" is created in the last empty Slot in your Field and gets SIZE =1/ATK =5/DEF =0/STA =5.	[Hi! Let me introduce you to my friend. On boring days I need a friend, so each day I make a new friend so I won't be lonely anymore!]	
100070	Street Idol Clarice	거리의 아이돌 클라리스	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, allied cards with "Homunculus Escort" in the name are sent to the Grave. If the ones digit of the Turn Number is at least 1, a Follower named "Homunculus Escort" is created in the last empty Slot in your Field and gets SIZE =1/DEF =1. That Follower gets ATK/STA changed to equal 10 minus the ones digit of the Turn Number.	[We can do anything! If we're together~ You'll definitely meet us~ Something will start to change~ To a new tomorrow~ Singing with me is my homunculus. Give her some applause!]	
100071	Assistant Clarice	조력자 클라리스	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, allied cards with "Homunculus Escort" in the name are removed from the game. A Follower named "Homunculus Escort" is created in the last empty Slot in your Field and gets SIZE =1/ATK =1/DEF =0/STA =9.	[I want to get Luthica out of there... there has got to be a way. She was my first friend I made when I came here... I can't abandon her.]	
100072	Swimwear Clarice	수영복의 클라리스	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, allied cards with "Homunculus Escort" in the name are sent to the Grave. Next, a Follower named "Homunculus Escort" is created in the last empty Slot in your Field and gets SIZE =1/ATK =7/DEF =0/STA =2.	[Luthica! How is it? Cute, right? I'm an idol, so I wouldn't be able to make a living if I couldn't be cute!]	
100073	Dress Clarice	드레스의 클라리스	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, allied cards with "Homunculus Escort" in the name are sent to the Grave. A Follower named "Homunculus Escort" is created in the last empty Slot in your Field and gets SIZE =1/ATK =3/DEF =0/STA =3. That Follower gets this skill: "Before this card attacks, the defender gets SIZE +1, and then this skill is removed."	[This is the dress I'll wear at the next performance. Luthica? Hey! Listen to me!]	
100074	Wedding Dress Clarice	웨딩드레스의 클라리스	Academy	4	Character	R	36	-	1	-	-	-	1	1	At the start of the turn, allied cards with "Homunculus Escort" in the name are sent to the Grave. A Follower named "Homunculus Escort" is created in the last empty Slot in your Field and gets SIZE =1/ATK =5/DEF =0/STA =5.	[I got this as a reward for the wedding event. Does it suit me? I really wanted you to see it, Luthica. You're the first person that I cared about.	
100075	Artificial Vampire God Lig Nijes	인조흡혈신 리그 니제스	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the following effects are applied depending on the enemy Character's LIFE. 26 or more: The enemy Character gets LIFE -1 and your Character gets LIFE +1. 15~20: The enemy Character gets LIFE -2. 9 or less: Your Character gets LIFE +1.	[Bring me more. Blood. I only drink pure blood. You'll be with me at any time. First a little service. You'll dress me, too.]	
100076	Child Nold	놀드 어린이	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if the Turn Number and number of cards in your Hand are both odd or both even, a random allied Follower with a SIZE of at least 2 gets SIZE -2 (to a minimum of 1).	[What? You want to help? I can at least survive this.]	
100077	Child Cannelle	카넬 어린이	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random Follower in the enemy Hand gets SIZE =1/ATK =5/DEF = 0/STA =7.	[Yellow is the color of dignity, right? So how come these dignified clothes seem strange?]	
100078	Child Gart	갓트 어린이	Vita	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, if there are no Academy cards in your Hand and Field, a random allied Follower gets ATK +2/STA +1.	[Nold did that? I won't lose!]	
100079	Child Penika	페니카 어린이	Academy	4	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower gets STA +3. If the Turn Number is even, that Follower also gets ATK +1.	[Don't look at me like that! I just look like this because I used up all my magic!]	
100081	Bedroom Nold	침실의 놀드	Academy	5	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Academy Follower gets STA +2 and SIZE -1 (to a minimum of 1).	[What business do you have coming here? I'm tired, so what kind of business do you have to find me in my bedroom?]	
100083	Bunny Girl Cannelle	바니걸 카넬	Academy	5	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random allied Follower with a SIZE of 5 or less gets SIZE +1/ATK +2/DEF +1/STA +2.	[How is it! This is my true form!] [No way...] [Hey!!]	
100084	Wet Gart	비맞은 갓트	Vita	5	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a random enemy Follower gets DEF/STA decreased by the number of Followers in your Hand.	[Uuuu... why's the rain coming down like this... E... even if you stare like that, it won't make my clothes drier!]	
100087	Hammered Sigma	고주망태 시그마	Crux	5	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, a number of Followers in your Hand equal to the SIZE of the first card in your Hand get ATK +1/STA +1. (The Followers are selected from left to right.)	[Ng? What? Something's on my chest? I don't see anything. Everyone in Crux is supposed to be honest.]	
100088	Anj Inyghem	앤즈 이니엠	Darklore	5	Character	UC	30	-	1	-	-	-	1	20	At the start of the turn, the following effects are applied depending on the enemy Character's LIFE. 31 or more: The enemy Character gets LIFE -2. 20~25: A random allied Follower gets ATK +1/STA +2. 10~15: A random enemy Follower gets ATK -1/STA -2. 6 or less: The enemy Character gets LIFE=1.	[A fake midget? I'm no imitation. What? You're my new master? Then you have my service.]	
100089	Newbie Guide Rico	초보가이드 리코	Neutral	5	Character	EV	33	-	1	-	-	-	1	10	(none)	[It's good to rest when you are tired~ Don't forget the feeling you had when you first started.]	
100090	Swimsuit Sita	수영복의 시타	Vita	5	Character	UC	30	-	1	-	-	-	2	20	At the start of the turn, a random enemy Follower gets STA -3. Next, if your Character's LIFE is less than the enemy Character's LIFE, a random enemy Follower gets STA -2.	[I can't swim. I just like touching the water.]	
